,Is_Highlight,Gallery_Number,Title,Department,Culture,Artist_Display_Name,Medium
34,TRUE,706,The Adams Vase,The American Wing,American,Paulding Farnham|Tiffany & Co.,"Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel"
179,TRUE,713,Armchair,The American Wing,American,Gustave Herter,Walnut
201,TRUE,713,Armchair,The American Wing,American,Pottier and Stymus Manufacturing Company,"Rosewood, prickly juniper veneer"
241,TRUE,700,Autumn Landscape,The American Wing,American,Tiffany Studios|Agnes F. Northrop,Leaded Favrile glass
317,TRUE,750,Basket,The American Wing,American,Myer Myers,Silver
402,TRUE,751,Bench,The American Wing,"American, Shaker",United Society of Believers in Christ’s Second Appearing (“Shakers”),Pine
569,TRUE,704,Bottle,The American Wing,American,Wistarburgh Glassworks,Free-blown glass
611,TRUE,749,Basin,The American Wing,Mexican,Master Potter A,Tin-glazed earthenware
733,TRUE,750,Two-handled Bowl,The American Wing,American,Cornelius Kierstede,Silver
870,TRUE,706,Covered jar,The American Wing,American,Marie Zimmermann,"Silver, gold,  jade, crystal, and rubies"
951,TRUE,706,The Bryant Vase,The American Wing,American,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,Silver and gold
999,TRUE,743,Cabinet,The American Wing,American,Daniel Pabst,"Walnut, maple, white pine, glass"
1000,TRUE,774,Cabinet,The American Wing,American,Alexander Roux,"Rosewood, tulipwood, cherry, poplar, pine"
1393,TRUE,704,Celery vase,The American Wing,American,Boston & Sandwich Glass Company,Pressed glass
1414,TRUE,706,Century Vase,The American Wing,American,Karl L. H. Müller|Union Porcelain Works,Porcelain
1526,TRUE,719,Side Chair,The American Wing,American,Hercules Courtenay|Benjamin Randolph,"Mahogany, northern white cedar"
1538,TRUE,723,Side Chair,The American Wing,American,Samuel McIntire,"Mahogany, ebony, ash, birch, white pine"
1668,TRUE,733,Side Chair,The American Wing,American,John Finlay|Hugh Finlay,"Maple, painted and gilded, cane"
1824,TRUE,704,Inkstand,The American Wing,American,William Crolius,Stoneware
1840,TRUE,708,Chest,The American Wing,American,William Searle|Thomas Dennis,"White oak, red oak"
1842,TRUE,743,Chest,The American Wing,American,Gustav Stickley,"Oak, cedar, and wrought iron"
1863,TRUE,717,Chest of drawers,The American Wing,American,John Townsend,"Mahogany, tulip poplar, pine, chestnut"
1896,TRUE,750,Chocolate Pot,The American Wing,American,Edward Winslow,Silver
2037,TRUE,706,Compote,The American Wing,American,Long Island Flint Glass Works of Christian Dorflinger,"Blown, cut, and engraved glass"
2209,TRUE,704,Covered goblet,The American Wing,American,New Bremen Glass Manufactory|John Frederick Amelung,Blown and engraved glass
2946,TRUE,733,Secretary-bookcase,The American Wing,American,Robert Fisher,"Ebonized mahogany, mahogany, mahogany veneer, gilding, bronzing, stamped brass ornaments, and glass (secondary woods: pine, poplar, cherry)
"
3323,TRUE,714,Étagère,The American Wing,American,Alexander Roux,"Rosewood, chestnut, poplar, bird's-eye maple"
3344,TRUE,706,Ewer and Plateau,The American Wing,American,Spaulding and Company|Gorham Manufacturing Company,Silver
4173,TRUE,508,Jar,The American Wing,American,Thomas W. Commeraw|David Morgan,Stoneware
4376,TRUE,743,Lamp,The American Wing,American,Tiffany Studios|Louis Comfort Tiffany,Leaded Favrile glass and bronze
4441,TRUE,743,Library Table,The American Wing,American,Herter Brothers,"Rosewood, brass, mother-of-pearl, and abalone"
4565,TRUE,706,The Magnolia Vase,The American Wing,American,Tiffany & Co.,"Silver, gold, enamel, and opals"
4859,TRUE,743,Apple Blossoms,The American Wing,American,Charles Caryl Coleman,Oil on canvas
5207,TRUE,743,Peonies Blown in the Wind,The American Wing,American,John La Farge,Leaded opalescent glass
5252,TRUE,726,Pier table,The American Wing,American,Joseph B. Barry and Son,"Mahogany, mahogany veneer, satinwood,
amboyna, pine, gilt bronze with yellow poplar"
5794,TRUE,704,Plate,The American Wing,American,Heinrich Roth,Earthenware; Redware with sgraffito decoration
6235,TRUE,704,Pocket bottle,The American Wing,American,American Flint Glass Manufactory|Henry William Stiegel,Blown pattern-molded glass
6334,TRUE,731,Presentation Vase,The American Wing,American,Thomas Fletcher|Sidney Gardiner,Silver
6335,TRUE,731,Presentation Vase,The American Wing,American,Sidney Gardiner|Thomas Fletcher,Silver
6445,TRUE,717,Corner chair,The American Wing,American,Joseph Armitt,Walnut
6750,TRUE,705,Sauceboat,The American Wing,American,Anthony Rasch,Silver
7107,TRUE,715,Sofa,The American Wing,American,J. H. Belter & Co.|John Henry Belter,Rosewood
7116,TRUE,728,Sofa,The American Wing,American,Duncan Phyfe,"Mahogany, tulip poplar, cane, gilded brass"
7124,TRUE,738,Couch,The American Wing,American,Duncan Phyfe & Sons|Duncan Phyfe,"Mahogany, mahogany veneer, pine, ash, modern upholstery"
7382,TRUE,745,Living Room from the Francis W. Little House: Windows and paneling,The American Wing,American,Frank Lloyd Wright,"Oak, leaded glass"
7383,TRUE,704,Jubal and Miriam,The American Wing,American,William Jay Bolton|John Bolton,"Stained glass window; vitreous glass paint, enamel paint, silver stain"
7384,TRUE,701,"Staircase from Chicago Stock Exchange Building, Chicago",The American Wing,American,Louis Henry Sullivan|Dankmar Adler,"Cast iron, electroplate copper finish, mahogany railing"
7706,TRUE,750,Tankard,The American Wing,American,Gerrit Onckelbag,Silver
7731,TRUE,704,Tankard,The American Wing,American,John Will,Pewter
7773,TRUE,750,Tea Urn,The American Wing,American,Paul Revere Jr.,"Silver, ivory"
8667,TRUE,743,Vase,The American Wing,American,John Bennett,Painted and glazed earthenware
8817,TRUE,706,Vase,The American Wing,American,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,Favrile glass
8924,TRUE,706,Viking Punch Bowl,The American Wing,American,Tiffany & Co.|Paulding Farnham,"Iron, silver, gold, and streaked ebony"
8946,TRUE,700,Garden Landscape,The American Wing,American,Louis Comfort Tiffany|Tiffany Studios,Favrile-glass mosaic
9015,TRUE,743,Wardrobe,The American Wing,American,Herter Brothers,Cherry
9265,TRUE,706,Wine urn,The American Wing,American,Boston & Sandwich Glass Company,Pressed glass
9324,TRUE,766,"""King Lear,"" Act I, Scene I",The American Wing,American,Edwin Austin Abbey,Oil on canvas
9336,TRUE,768,Repose,The American Wing,American,John White Alexander,Oil on canvas
9351,TRUE,762,The Way They Live,The American Wing,American,Thomas Anshutz,Oil on canvas
9386,TRUE,768,Ernesta (Child with Nurse),The American Wing,American,Cecilia Beaux,Oil on canvas
9412,TRUE,760,"The Rocky Mountains, Lander's Peak",The American Wing,American,Albert Bierstadt,Oil on canvas
9417,TRUE,758,Fur Traders Descending the Missouri,The American Wing,American,George Caleb Bingham,Oil on canvas
9429,TRUE,774,Mrs. David Chesebrough,The American Wing,American,Joseph Blackburn,Oil on canvas
9440,TRUE,766,The Ameya,The American Wing,American,Robert Frederick Blum,Oil on canvas
9459,TRUE,760,An Arctic Summer: Boring Through the Pack in Melville Bay,The American Wing,American,William Bradford,Oil on canvas
9593,TRUE,762,Little Ida,The American Wing,American,Charles Calverley,Marble
9618,TRUE,824,The Cup of Tea,The American Wing,American,Mary Cassatt,Oil on canvas
9620,TRUE,768,Lady at the Tea Table,The American Wing,American,Mary Cassatt,Oil on canvas
9622,TRUE,768,Lydia Crocheting in the Garden at Marly,The American Wing,American,Mary Cassatt,Oil on canvas
9652,TRUE,768,Young Mother Sewing,The American Wing,American,Mary Cassatt,Oil on canvas
9690,TRUE,769,At the Seaside,The American Wing,American,William Merritt Chase,Oil on canvas
9695,TRUE,771,James Abbott McNeill Whistler,The American Wing,American,William Merritt Chase,Oil on canvas
9707,TRUE,760,Heart of the Andes,The American Wing,American,Frederic Edwin Church,Oil on canvas
9708,TRUE,760,The Parthenon,The American Wing,American,Frederic Edwin Church,Oil on canvas
9723,TRUE,759,"View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow",The American Wing,American,Thomas Cole,Oil on canvas
9725,TRUE,759,The Titan's Goblet,The American Wing,American,Thomas Cole,Oil on canvas
9727,TRUE,759,View on the Catskill—Early Autumn,The American Wing,American,Thomas Cole,Oil on canvas
9747,TRUE,748,Daniel Crommelin Verplanck,The American Wing,American,John Singleton Copley,Oil on canvas
9752,TRUE,748,Midshipman Augustus Brine,The American Wing,American,John Singleton Copley,Oil on canvas
9756,TRUE,748,Mrs. John Winthrop,The American Wing,American,John Singleton Copley,Oil on canvas
9779,TRUE,753,Watson and the Shark,The American Wing,American,John Singleton Copley,Oil on canvas
9782,TRUE,764,Augustus Saint-Gaudens,The American Wing,American,Kenyon Cox,Oil on canvas
9797,TRUE,758,Genius of Mirth,The American Wing,American,Thomas Crawford,Marble
9809,TRUE,760,The Valley of Wyoming,The American Wing,American,Jasper Francis Cropsey,Oil on canvas
9930,TRUE,766,The Letter,The American Wing,American,Thomas Wilmer Dewing,Oil on canvas
9965,TRUE,759,The Beeches,The American Wing,American,Asher Brown Durand,Oil on canvas
9990,TRUE,764,The Artist's Wife and His Setter Dog,The American Wing,American,Thomas Eakins,Oil on canvas
9992,TRUE,764,The Chess Players,The American Wing,American,Thomas Eakins,Oil on wood
9998,TRUE,764,The Champion Single Sculls (Max Schmitt in a Single Scull),The American Wing,American,Thomas Eakins,Oil on canvas
10006,TRUE,771,The Thinker: Portrait of Louis N. Kenton,The American Wing,American,Thomas Eakins,Oil on canvas
10009,TRUE,755,Elijah Boardman,The American Wing,American,Ralph Earl,Oil on canvas
10079,TRUE,700,The Angel of Death and the Sculptor from the Milmore Memorial,The American Wing,American,Daniel Chester French,Marble
10082,TRUE,700,Mourning Victory from the Melvin Memorial,The American Wing,American,Daniel Chester French,Marble
10083,TRUE,774,Ralph Waldo Emerson,The American Wing,American,Daniel Chester French,Bronze
10109,TRUE,761,A Gorge in the Mountains (Kauterskill Clove),The American Wing,American,Sanford Robinson Gifford,Oil on canvas
10156,TRUE,763,Still Life—Violin and Music,The American Wing,American,William Michael Harnett,Oil on canvas
10191,TRUE,751,Molly Wales Fobes,The American Wing,American,Rufus Hathaway,Oil on canvas
10196,TRUE,761,Approaching Thunder Storm,The American Wing,American,Martin Johnson Heade,Oil on canvas
10201,TRUE,756,Euphemia White Van Rensselaer,The American Wing,American,George P. A. Healy,Oil on canvas
10213,TRUE,759,The Falls of Niagara,The American Wing,American,Edward Hicks,Oil on canvas
10221,TRUE,761,A Study of Trap Rock (Buttermilk Falls),The American Wing,American,John Henry Hill,Oil on canvas
10249,TRUE,762,Dressing for the Carnival,The American Wing,American,Winslow Homer,Oil on canvas
10255,TRUE,767,The Gulf Stream,The American Wing,American,Winslow Homer,Oil on canvas
10263,TRUE,767,Northeaster,The American Wing,American,Winslow Homer,Oil on canvas
10266,TRUE,762,Prisoners from the Front,The American Wing,American,Winslow Homer,Oil on canvas
10278,TRUE,762,The Veteran in a New Field,The American Wing,American,Winslow Homer,Oil on canvas
10285,TRUE,758,Daphne,The American Wing,American,Harriet Goodhue Hosmer,Marble
10287,TRUE,762,The Last Moments of John Brown,The American Wing,American,Thomas Hovenden,Oil on canvas
10331,TRUE,774,The Flower Girl,The American Wing,American,Charles Cromwell Ingham,Oil on canvas
10350,TRUE,761,Autumn Oaks,The American Wing,American,George Inness,Oil on canvas
10357,TRUE,770,"Spring Blossoms, Montclair, New Jersey",The American Wing,American,George Inness,Oil and crayon or charcoal on canvas
10384,TRUE,763,The Hatch Family,The American Wing,American,Eastman Johnson,Oil on canvas
10390,TRUE,751,Edward and Sarah Rutter,The American Wing,American,Joshua Johnson,Oil on canvas
10423,TRUE,761,"Eaton's Neck, Long Island",The American Wing,American,John Frederick Kensett,Oil on canvas
10427,TRUE,761,Lake George,The American Wing,American,John Frederick Kensett,Oil on canvas
10441,TRUE,761,Sunset on the Sea,The American Wing,American,John Frederick Kensett,Oil on canvas
10485,TRUE,761,Stage Fort across Gloucester Harbor,The American Wing,American,Fitz Henry Lane (formerly Fitz Hugh Lane),Oil on canvas
10502,TRUE,760,Washington Crossing the Delaware,The American Wing,American,Emanuel Leutze,Oil on canvas
10527,TRUE,770,Victory,The American Wing,American,Evelyn Beatrice Longman,Bronze
10541,TRUE,700,Bacchante and Infant Faun,The American Wing,American,Frederick William MacMonnies,Bronze
10559,TRUE,700,The Sun Vow,The American Wing,American,Hermon Atkins MacNeil,Bronze
10643,TRUE,756,Susan Walker Morse (The Muse),The American Wing,American,Samuel F. B. Morse,Oil on canvas
10656,TRUE,758,Cider Making,The American Wing,American,William Sidney Mount,Oil on canvas
10723,TRUE,753,George Washington,The American Wing,American,Charles Willson Peale,Oil on canvas
10750,TRUE,756,Still Life: Balsam Apple and Vegetables,The American Wing,American,James Peale,Oil on canvas
10753,TRUE,756,Still Life with Cake,The American Wing,American,Raphaelle Peale,Oil on wood
10779,TRUE,751,Mrs. Mayer and Daughter,The American Wing,American,Ammi Phillips,Oil on canvas
10805,TRUE,760,California,The American Wing,American,Hiram Powers,Marble
10807,TRUE,760,George Washington,The American Wing,American,Hiram Powers,Marble
10810,TRUE,747,The American School,The American Wing,American,Matthew Pratt,Oil on canvas
10817,TRUE,772,Central Park,The American Wing,American,Maurice Brazil Prendergast ,Oil on canvas
10832,TRUE,765,Buffalo,The American Wing,American,Alexander Phimister Proctor,Bronze
10836,TRUE,758,Leatherstocking's Rescue,The American Wing,American,John Quidor,Oil on canvas
10856,TRUE,765,The Broncho Buster,The American Wing,American,Frederic Remington,Bronze
10862,TRUE,765,The Mountain Man,The American Wing,American,Frederic Remington,Bronze
10943,TRUE,700,"Nydia, the Blind Flower Girl of Pompeii",The American Wing,American,Randolph Rogers,Marble
10970,TRUE,766,The Toilers of the Sea,The American Wing,American,Albert Pinkham Ryder,Oil on wood
10987,TRUE,769,Diana,The American Wing,American,Augustus Saint-Gaudens,Bronze
10992,TRUE,700,Hiawatha,The American Wing,American,Augustus Saint-Gaudens,Marble
11000,TRUE,764,Mrs. Schuyler Van Rensselaer (Mariana Griswold),The American Wing,American,Augustus Saint-Gaudens,Bronze
11007,TRUE,771,Victory,The American Wing,American,Augustus Saint-Gaudens,"Bronze, gilt"
11040,TRUE,770,Bringing Down Marble from the Quarries to Carrara,The American Wing,American,John Singer Sargent,Oil on canvas
11115,TRUE,771,Madame X (Madame Pierre Gautreau),The American Wing,American,John Singer Sargent,Oil on canvas
11128,TRUE,771,Mr. and Mrs. I. N. Phelps Stokes,The American Wing,American,John Singer Sargent,Oil on canvas
11465,TRUE,771,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",The American Wing,American,John Singer Sargent,Oil on canvas
11534,TRUE,700,Frog Fountain,The American Wing,American,Janet Scudder,Bronze
11586,TRUE,747,Francis Brinley,The American Wing,American,John Smibert,Oil on canvas
11588,TRUE,747,Mrs. Francis Brinley and Her Son Francis,The American Wing,American,John Smibert,Oil on canvas
11634,TRUE,700,Cleopatra,The American Wing,American,William Wetmore Story,Marble
11653,TRUE,755,Josef de Jaudenes y Nebot,The American Wing,American,Gilbert Stuart,Oil on canvas
11657,TRUE,755,Matilda Stoughton de Jaudenes,The American Wing,American,Gilbert Stuart,Oil on canvas
11793,TRUE,753,George Washington and William Lee,The American Wing,American,John Trumbull,Oil on canvas
11799,TRUE,753,The Sortie Made by the Garrison of Gibraltar,The American Wing,American,John Trumbull,Oil on canvas
11813,TRUE,770,Arques-la-Bataille,The American Wing,American,John Henry Twachtman,Oil on canvas
11990,TRUE,735,Panoramic View of the Palace and Gardens of Versailles,The American Wing,American,John Vanderlyn,Oil on canvas
12003,TRUE,766,Lair of the Sea Serpent,The American Wing,American,Elihu Vedder,Oil on canvas
12008,TRUE,774,The Pleiades,The American Wing,American,Elihu Vedder,Oil on canvas
12021,TRUE,768,A Young Mother,The American Wing,American,Bessie Potter Vonnoh,Bronze
12053,TRUE,763,Interior View of the Metropolitan Museum of Art when in Fourteenth Street,The American Wing,American,Frank Waller,Oil on canvas
12057,TRUE,521,The Freedman,The American Wing,American,John Quincy Adams Ward,Bronze
12060,TRUE,761,The Indian Hunter,The American Wing,American,John Quincy Adams Ward,Bronze
12092,TRUE,766,The Rajah Starting on a Hunt,The American Wing,American,Edwin Lord Weeks,Oil on canvas.
12105,TRUE,770,The Red Bridge,The American Wing,American,Julian Alden Weir,Oil on canvas
12128,TRUE,771,Arrangement in Flesh Colour and Black: Portrait of Theodore Duret,The American Wing,American,James McNeill Whistler,Oil on canvas
12138,TRUE,766,"Cremorne Gardens, No. 2",The American Wing,American,James McNeill Whistler,Oil on canvas
12212,TRUE,761,The Trout Pool,The American Wing,American,Worthington Whittredge,Oil on canvas
12237,TRUE,762,A Bit of War History: The Veteran,The American Wing,American,Thomas Waterman Wood,Oil on canvas
12238,TRUE,762,A Bit of War History: The Contraband,The American Wing,American,Thomas Waterman Wood,Oil on canvas
12239,TRUE,762,A Bit of War History: The Recruit,The American Wing,American,Thomas Waterman Wood,Oil on canvas
12321,TRUE,774,Armchair,The American Wing,American,A. H. Davenport|Francis H. Bacon,"Mahogany, tooled and painted leather"
12593,TRUE,774,Lilacs in a Window (Vase de Lilas a la Fenetre),The American Wing,American,Mary Cassatt,Oil on canvas
13041,TRUE,704,Candlestick,The American Wing,American,Adrian Bancker,Silver
13042,TRUE,704,Candlestick,The American Wing,American,Adrian Bancker,Silver
13112,TRUE,743,Library Table,The American Wing,American,William Lightfoot Price|Rose Valley Shops,"White oak, stained"
13158,TRUE,743,Linen Press,The American Wing,American,Byrdcliffe Arts and Crafts Colony,"Oak, tulip poplar, brass"
