,Gallery Number,Title,Department,Culture,Artist Display Name,Artist Begin Date,Artist End Date,Medium,data
34,706,The Adams Vase,The American Wing,American,Paulding Farnham|Tiffany & Co.,1859      |1837      ,1927      |9999      ,"Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel","The American Wing American Paulding Farnham|Tiffany & Co. 1859      |1837       1927      |9999       Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel"
179,713,Armchair,The American Wing,American,Gustave Herter,1830      ,1898      ,Walnut,The American Wing American Gustave Herter 1830       1898       Walnut
201,713,Armchair,The American Wing,American,Pottier and Stymus Manufacturing Company,1859      ,1910      ,"Rosewood, prickly juniper veneer","The American Wing American Pottier and Stymus Manufacturing Company 1859       1910       Rosewood, prickly juniper veneer"
241,700,Autumn Landscape,The American Wing,American,Tiffany Studios|Agnes F. Northrop,1902      |1857      ,1932      |1953      ,Leaded Favrile glass,The American Wing American Tiffany Studios|Agnes F. Northrop 1902      |1857       1932      |1953       Leaded Favrile glass
317,750,Basket,The American Wing,American,Myer Myers,1723      ,1795      ,Silver,The American Wing American Myer Myers 1723       1795       Silver
402,751,Bench,The American Wing,"American, Shaker",United Society of Believers in Christ’s Second Appearing (“Shakers”),1750      ,9999      ,Pine,"The American Wing American, Shaker United Society of Believers in Christ’s Second Appearing (“Shakers”) 1750       9999       Pine"
569,704,Bottle,The American Wing,American,Wistarburgh Glassworks,          ,9999      ,Free-blown glass,The American Wing American Wistarburgh Glassworks            9999       Free-blown glass
611,749,Basin,The American Wing,Mexican,Master Potter A,          ,          ,Tin-glazed earthenware,The American Wing Mexican Master Potter A                       Tin-glazed earthenware
733,750,Two-handled Bowl,The American Wing,American,Cornelius Kierstede,1674      ,1760      ,Silver,The American Wing American Cornelius Kierstede 1674       1760       Silver
870,706,Covered jar,The American Wing,American,Marie Zimmermann,1879      ,1972      ,"Silver, gold,  jade, crystal, and rubies","The American Wing American Marie Zimmermann 1879       1972       Silver, gold,  jade, crystal, and rubies"
951,706,The Bryant Vase,The American Wing,American,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,1833      |1837      |1832      |1848      ,1902      |9999      |1901      |1907      ,Silver and gold,The American Wing American James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens 1833      |1837      |1832      |1848       1902      |9999      |1901      |1907       Silver and gold
999,743,Cabinet,The American Wing,American,Daniel Pabst,1826      ,1910      ,"Walnut, maple, white pine, glass","The American Wing American Daniel Pabst 1826       1910       Walnut, maple, white pine, glass"
1000,774,Cabinet,The American Wing,American,Alexander Roux,1813      ,1886      ,"Rosewood, tulipwood, cherry, poplar, pine","The American Wing American Alexander Roux 1813       1886       Rosewood, tulipwood, cherry, poplar, pine"
1393,704,Celery vase,The American Wing,American,Boston & Sandwich Glass Company,1825      ,1888      ,Pressed glass,The American Wing American Boston & Sandwich Glass Company 1825       1888       Pressed glass
1414,706,Century Vase,The American Wing,American,Karl L. H. Müller|Union Porcelain Works,1820      |1863      ,1890      |1922      ,Porcelain,The American Wing American Karl L. H. Müller|Union Porcelain Works 1820      |1863       1890      |1922       Porcelain
