source,target,weight,coordinates_source,coordinates_target,exhibit_source,exhibit_target
1,2,33,"(728, 472)","(698, 475)",NA,NA
1,2,33,"(728, 472)","(698, 475)",NA,NA
156,2,50,"(649, 474)","(698, 475)",NA,NA
156,2,50,"(649, 474)","(698, 475)",NA,NA
1,3,33,"(728, 472)","(760, 473)",NA,NA
12,3,166,"(761, 638)","(760, 473)",NA,NA
243,3,128,"(761, 600)","(760, 473)",NA,NA
1,143,39,"(728, 472)","(730, 435)",NA,600.0
1,143,39,"(728, 472)","(730, 435)",NA,600.0
136,143,42,"(733, 396)","(730, 435)",601.0,600.0
144,143,94,"(823, 436)","(730, 435)",622.0,600.0
241,143,55,"(784, 436)","(730, 435)",NA,600.0
156,157,77,"(649, 474)","(647, 549)",NA,535.0
156,158,40,"(649, 474)","(609, 474)",NA,690.0
157,158,113,"(647, 549)","(609, 474)",535.0,690.0
159,158,102,"(508, 475)","(609, 474)",850.0,690.0
159,158,102,"(508, 475)","(609, 474)",850.0,690.0
12,4,61,"(761, 638)","(701, 637)",NA,NA
2,4,165,"(698, 475)","(701, 637)",NA,NA
12,11,105,"(761, 638)","(866, 638)",NA,NA
10,11,55,"(869, 690)","(866, 638)",205.0,NA
13,11,47,"(911, 636)","(866, 638)",NA,NA
12,243,38,"(761, 638)","(761, 600)",NA,NA
242,243,78,"(802, 563)","(761, 600)",NA,NA
243,12,38,"(761, 600)","(761, 638)",NA,NA
3,12,166,"(760, 473)","(761, 638)",NA,NA
11,12,105,"(866, 638)","(761, 638)",NA,NA
11,12,105,"(866, 638)","(761, 638)",NA,NA
136,137,98,"(733, 396)","(678, 353)",601.0,625.0
136,145,93,"(733, 396)","(824, 398)",601.0,623.0
144,145,39,"(823, 436)","(824, 398)",622.0,623.0
153,145,58,"(879, 395)","(824, 398)",621.0,623.0
144,241,39,"(823, 436)","(784, 436)",622.0,NA
143,241,55,"(730, 435)","(784, 436)",600.0,NA
143,241,55,"(730, 435)","(784, 436)",600.0,NA
143,241,55,"(730, 435)","(784, 436)",600.0,NA
240,241,68,"(812, 476)","(784, 436)",NA,NA
144,155,57,"(823, 436)","(879, 435)",622.0,620.0
144,155,57,"(823, 436)","(879, 435)",622.0,620.0
144,155,57,"(823, 436)","(879, 435)",622.0,620.0
154,155,67,"(945, 434)","(879, 435)",619.0,620.0
241,240,68,"(784, 436)","(812, 476)",NA,NA
3,240,55,"(760, 473)","(812, 476)",NA,NA
241,144,39,"(784, 436)","(823, 436)",NA,622.0
241,144,39,"(784, 436)","(823, 436)",NA,622.0
241,144,39,"(784, 436)","(823, 436)",NA,622.0
133,144,186,"(637, 436)","(823, 436)",644.0,622.0
145,144,39,"(824, 398)","(823, 436)",623.0,622.0
155,144,57,"(879, 435)","(823, 436)",620.0,622.0
2,156,50,"(698, 475)","(649, 474)",NA,NA
158,156,40,"(609, 474)","(649, 474)",690.0,NA
158,156,40,"(609, 474)","(649, 474)",690.0,NA
158,156,40,"(609, 474)","(649, 474)",690.0,NA
