is_highlight,gallery_number,title,department,object_type,culture,artist,medium,tags
True,766,"""King Lear,"" Act I, Scene I",The American Wing,Painting,American,Edwin Austin Abbey,Oil on canvas,Shakespeare|Kings|Men|Women|Dogs
False,764,In the Laboratory,The American Wing,Painting,American,Henry Alexander,Oil on canvas,Interiors|Men|Portraits|Chemistry|Working
True,768,Repose,The American Wing,Painting,American,John White Alexander,Oil on canvas,Women
False,768,Study in Black and Green,The American Wing,Painting,American,John White Alexander,Oil on canvas,Portraits|Women
False,756,The Spanish Girl in Reverie,The American Wing,Painting,American,Washington Allston,Oil on canvas,Portraits|Women
False,751,The Children of Nathan Starr,The American Wing,Painting,American,Ambrose Andrews,Oil on canvas,Boys|Girls|Women|Playing|Family|Games
True,762,The Way They Live,The American Wing,Painting,American,Thomas Anshutz,Oil on canvas,Houses|Boys|Girls|Women|Working
False,747,James Badger,The American Wing,Painting,American,Joseph Badger,Oil on canvas,Birds|Cherries|Boys|Portraits
True,768,Ernesta (Child with Nurse),The American Wing,Painting,American,Cecilia Beaux,Oil on canvas,Girls|Portraits
False,771,Mr. and Mrs. Anson Phelps Stokes,The American Wing,Painting,American,Cecilia Beaux,Oil on canvas,Couples|Men|Women
False,765,"Merced River, Yosemite Valley",The American Wing,Painting,American,Albert Bierstadt,Oil on canvas,Landscapes|Rivers|Mountains
True,760,"The Rocky Mountains, Lander's Peak",The American Wing,Painting,American,Albert Bierstadt,Oil on canvas,Tents|Horses|Mountains|Landscapes
False,760,Sunrise on the Matterhorn,The American Wing,Painting,American,Albert Bierstadt,Oil on canvas,Landscapes|Mountains|Dawn
True,758,Fur Traders Descending the Missouri,The American Wing,Painting,American,George Caleb Bingham,Oil on canvas,Human Figures|Men|Cats|Rivers|Boats
False,719,Mary Sylvester,The American Wing,Painting,American,Joseph Blackburn,Oil on canvas,Portraits|Women|Sheep
False,747,Mrs. Samuel Cutts,The American Wing,Painting,American,Joseph Blackburn,Oil on canvas,Portraits|Women
False,747,Samuel Cutts,The American Wing,Painting,American,Joseph Blackburn,Oil on canvas,Men|Portraits
True,766,The Ameya,The American Wing,Painting,American,Robert Frederick Blum,Oil on canvas,Infants|Women|Street Scene|Working
True,760,An Arctic Summer: Boring Through the Pack in Melville Bay,The American Wing,Painting,American,William Bradford,Oil on canvas,Ships|Landscapes
False,760,Shipwreck off Nantucket (Wreck off Nantucket after a Storm),The American Wing,Painting,American,William Bradford,Oil on canvas,Shipwrecks|Waves|Boats
False,763,The Music Lesson,The American Wing,Painting,American,John George Brown,Oil on canvas,Couples|Men|Women|Music|Flutes|Harps
False,681,Portrait of a Young Woman,The American Wing,Painting,American,Mather Brown,Oil on canvas,Girls|Portraits|Pianos
True,824,The Cup of Tea,The American Wing,Painting,American,Mary Cassatt,Oil on canvas,Women|Tea Drinking
True,768,Lady at the Tea Table,The American Wing,Painting,American,Mary Cassatt,Oil on canvas,Portraits|Women|Tea Drinking
True,768,Lydia Crocheting in the Garden at Marly,The American Wing,Painting,American,Mary Cassatt,Oil on canvas,Gardens|Women|Needlework
False,758,Taking the Census,The American Wing,Painting,American,Francis William Edmonds,Oil on canvas,Interiors|Children|Infants|Men|Women|Writing
True,768,Young Mother Sewing,The American Wing,Painting,American,Mary Cassatt,Oil on canvas,Girls|Mothers|Women|Sewing
False,751,The Constitution and the Guerriere,The American Wing,Painting,American,Thomas Chambers,Oil on canvas,Flags|Ships
True,769,At the Seaside,The American Wing,Painting,American,William Merritt Chase,Oil on canvas,Human Figures|Beaches|Seascapes
False,769,For the Little One,The American Wing,Painting,American,William Merritt Chase,Oil on canvas,Interiors|Women|Sewing
True,771,James Abbott McNeill Whistler,The American Wing,Painting,American,William Merritt Chase,Oil on canvas,Portraits|Men
False,760,The Aegean Sea,The American Wing,Painting,American,Frederic Edwin Church,Oil on canvas,Human Figures|Seas|Landscapes|Trees|Rainbows
True,760,Heart of the Andes,The American Wing,Painting,American,Frederic Edwin Church,Oil on canvas,Rivers|Waterfalls|Forests|Mountains|Landscapes
True,760,The Parthenon,The American Wing,Painting,American,Frederic Edwin Church,Oil on canvas,Ruins
False,759,The Mountain Ford,The American Wing,Painting,American,Thomas Cole,Oil on canvas,Horse Riding|Rivers|Mountains|Trees
True,759,"View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow",The American Wing,Painting,American,Thomas Cole,Oil on canvas,Rivers|Mountains|Landscapes|Pastoral|Storms
True,759,The Titan's Goblet,The American Wing,Painting,American,Thomas Cole,Oil on canvas,Fountains|Sun|Hills|Landscapes
False,759,A View near Tivoli (Morning),The American Wing,Painting,American,Thomas Cole,Oil on canvas,Landscapes|Ruins|Mountains
True,759,View on the Catskill—Early Autumn,The American Wing,Painting,American,Thomas Cole,Oil on canvas,Mountains|Landscapes
True,748,Daniel Crommelin Verplanck,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Boys|Portraits|Squirrels
False,718,Gulian Verplanck,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Men|Portraits
False,747,Joseph Sherburne,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Men|Portraits
True,748,Midshipman Augustus Brine,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Boys|Portraits
False,747,Mrs. Jerathmael Bowers,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Portraits|Women|Dogs
True,748,Mrs. John Winthrop,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Portraits|Women
False,748,Mrs. Sylvanus Bourne,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Books|Portraits|Women
False,717,The Return of Neptune,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Mermaids|Female Nudes|Centaurs|Neptune|Horses
False,748,Richard Dana,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Men|Portraits
False,718,Samuel Verplanck,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Men|Portraits
True,753,Watson and the Shark,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Fear|Men|Male Nudes|Fish|Boats
True,764,Augustus Saint-Gaudens,The American Wing,Painting,American,Kenyon Cox,Oil on canvas,Men|Portraits|Artists
True,760,The Valley of Wyoming,The American Wing,Painting,American,Jasper Francis Cropsey,Oil on canvas,Landscapes
False,772,A Measure of Dreams,The American Wing,Painting,American,Arthur B. Davies,Oil on canvas,Female Nudes|Landscapes
True,766,The Letter,The American Wing,Painting,American,Thomas Wilmer Dewing,Oil on canvas,Women|Interiors|Contemplation
False,766,Tobias and the Angel,The American Wing,Painting,American,Thomas Wilmer Dewing,Oil on canvas,Angels|Male Nudes
False,756,Ariadne,The American Wing,Painting,American,Asher Brown Durand|John Vanderlyn,Oil on canvas,Female Nudes|Ariadne
True,759,The Beeches,The American Wing,Painting,American,Asher Brown Durand,Oil on canvas,Sheep|Landscapes|Trees|Shepherds
False,759,High Point: Shandaken Mountains,The American Wing,Painting,American,Asher Brown Durand,Oil on canvas,Fishing|Men|Women|Cows|Mountains|Landscapes
False,759,In the Woods,The American Wing,Painting,American,Asher Brown Durand,Oil on canvas,Forests
False,759,"Landscape—Scene from ""Thanatopsis""",The American Wing,Painting,American,Asher Brown Durand,Oil on canvas,Mountains|Landscapes
False,721,Boy of the Crossfield Family (Possibly Richard Crossfield),The American Wing,Painting,American,John Durand,Oil on canvas,Portraits|Books|Boys
False,717,Susannah or Mary Bontecou,The American Wing,Painting,American,John Durand,Oil on canvas,Roses|Portraits|Women
False,758,Red School House (Country Scene),The American Wing,Painting,American,George Henry Durrie,Oil on canvas,Schools|Winter|Snow|Wagons
False,764,Arcadia,The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Male Nudes|Female Nudes|Flutes
